Sample_ID,Date,Site,Volume_Filtered_mL,Replicates,Volume_Eluted_uL,Total_Cyano_Rep,Total_Cyano_Copies_Rxn,Total_Cyano_Y_intercept,Total_Cyano_Slope,Total_Cyano_Efficiency,Total_Cyano_R_squared,Total_Cyano_Quality_checks,Total_Cyano_Source_file,mcyE_Rep,mcyE_Copies_Rxn,mcyE_Y_intercept,mcyE_Slope,mcyE_Efficiency,mcyE_R_squared,mcyE_Quality_checks,mcyE_Source_file,sxtA_Rep,sxtA_Copies_Rxn,sxtA_Y_intercept,sxtA_Slope,sxtA_Efficiency,sxtA_R_squared,sxtA_Quality_checks,sxtA_Source_file,Station_Depth_m,Sample_Depth_m,Sample_Depth_category,Local_Time_Eastern_Time_Zone,Latitude_decimal_deg,Longitude_decimal_deg,Wind_speed_knots,Wave_Height_ft,Sky,Secchi_Depth_m,Sample_Temperature_C,CTD_Temperature_C,CTD_Specific_Conductivity_uS_cm,CTD_Beam_Attenuation_m1,CTD_Tramission_,CTD_Dissolved_Oxygen_mg_L,CTD_Photosynthetically_Active_Radiation_uE_m2_s,Turbidity_NTU,Particulate_Microcystin_ug_L,Dissolved_Microcystin_ug_L,Extracted_Phycocyanin_ug_L,Extracted_Chlorophyll_a_ug_L,Total_Phosphorus_ug_P_L,Total_Dissolved_Phosphorus_ug_P_L,Soluble_Reactive_Phosphorus_ug_P_L,Ammonia_ug_N_L,Nitrate_+_Nitrite_mg_N_L,Urea_ug_N_L,Particulate_Organic_Carbon_mg_L,Particulate_Organic_Nitrogen_mg_L,Dissolved_Organic_Carbon_mg_L,Colored_Dissolved_Organic_Material_absorbance_m1_at_400nm,Total_Suspended_Solids_mg_L,Volatile_Suspended_Solids_mg_L,Year,Month,Day,DOY,Total_Cyano_Copies_mL,mcyE_Copies_mL,mcyE_Copies_mL_BDL_Replaced,sxtA_Copies_mL,sxtA_Copies_mL_BDL_Replaced,Particulate_Microcystin_ug_L_BDL_Replaced,Particulate_Microcystin_ug_L_BDL_Replaced_plusoneweek,Particulate_Microcystin_ug_L_BDL_Replaced_plusoneweek_days,Particulate_Microcystin_ug_L_BDL_Replaced_plustwoweeks,Particulate_Microcystin_ug_L_BDL_Replaced_plustwoweeks_days
NA,2014-08-25T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,11:05,41.705,-83.2563,NA,NA,sunny,0.3,NA,25,279.3,12.6,4.3,7.4,22.65,31.6,3.1,NA,45.72,38.28,98.15,10.27,3.68,2.58,0.028,NA,4.03,0.59,4.27,1.34,27.7,8.15,2014,8,25,237,NA,NA,NA,NA,NA,3.1,0.3,8,0.4,14
NA,2014-09-02T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.75,Surface,11:22,41.7026,-83.257,NA,NA,cloudy,0.6,NA,NA,NA,NA,NA,NA,NA,11.1,0.3,<0.1,6.25,23.62,47.61,6.04,1.81,1.63,0.048,NA,1.76,0.27,3.19,0.67,14.04,4.98,2014,9,2,245,NA,NA,NA,NA,NA,0.3,0.4,6,1.3,13
NA,2014-09-08T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,11:08,41.7044,-83.2554,NA,NA,sunny,0.7,NA,NA,NA,NA,NA,NA,NA,9.46,0.4,0.31,4.44,23.2,47.39,7.12,1.87,1.1,0.07,NA,1.58,0.2,3.24,0.66,12.47,5.47,2014,9,8,251,NA,NA,NA,NA,NA,0.4,1.3,7,0.9,15
NA,2014-09-15T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.75,Surface,11:16,41.7038,-83.2608,NA,NA,cloudy,0.4,NA,18.4,293.1,NA,NA,7.5,130.45,15,1.3,1.04,4.78,18.49,66.24,18.14,12.1,<0.4,0.141,NA,1.15,0.21,4.36,1.46,15.24,5.72,2014,9,15,258,NA,NA,NA,NA,NA,1.3,0.9,8,0.6,14
NA,2014-09-23T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,0.75,Surface,11:34,41.7033,-83.2583,NA,NA,sunny,NA,NA,17.9,271.5,NA,NA,8.1,951.3,11,0.9,0.9,17.55,16.97,60.63,21.34,17.39,3.14,0.15,NA,1.77,0.32,3.36,0.66,8.23,3.03,2014,9,23,266,NA,NA,NA,NA,NA,0.9,0.6,6,0.1,13
NA,2014-09-29T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,0.75,Surface,11:10,41.7031,-83.2591,NA,NA,foggy,0.8,NA,19.5,278.1,4.1,35.7,8.3,291.39,31.9,0.6,0.5,21.87,22.25,69.57,11.32,7.98,0.44,0.14,NA,3.03,0.48,3.48,0.78,11.42,6.13,2014,9,29,272,NA,NA,NA,NA,NA,0.6,0.1,7,0.3,16
NA,2014-10-06T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,0.75,Surface,11:22,41.704,-83.2574,NA,NA,cloudy,0.6,NA,15.5,278.2,5.4,25.8,7.3,172.04,11.5,<0.1,0.2,0.5,3.97,39.57,11.87,12.57,36.39,0.17,NA,0.71,0.12,3.05,0.51,13.26,1.96,2014,10,6,279,NA,NA,NA,NA,NA,0.1,0.3,9,0.1,14
NA,2014-10-15T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,0.75,Surface,11:11,41.704,-83.2616,NA,NA,mostly cloudy,0.7,NA,14.6,258.9,6.2,21.2,8.6,371.85,11.1,0.3,0.1,0.39,4.11,51.13,18.23,11.27,6.54,0.151,NA,0.9,0.14,2.91,0.98,12.64,2.12,2014,10,15,288,NA,NA,NA,NA,NA,0.3,0.1,5,0.1,12
NA,2014-10-20T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,0.75,Surface,11:14,41.7045,-83.2611,NA,NA,partly cloudy,0.7,NA,13,276.4,4.6,32,8.6,161.58,9.13,<0.1,0.38,0.54,5,45.17,20.68,13.27,5.18,0.157,NA,0.5,0.11,3.2,NA,9.7,1.4,2014,10,20,293,NA,NA,NA,NA,NA,0.1,0.1,7,0.1,14
NA,2014-10-27T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.75,Surface,11:30,41.7038,-83.2607,NA,NA,cloudy,0.9,NA,12.2,281.9,3.1,46.1,8.7,229.84,6.17,<0.1,0.19,0.17,4.91,31.33,15.33,6.56,<0.4,0.162,NA,0.5,0.07,3.08,0.44,6.9,1.19,2014,10,27,300,NA,NA,NA,NA,NA,0.1,0.1,7,,
NA,2014-11-03T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,0.75,Surface,12:15,41.7032,-83.2593,NA,NA,sunny,0.2,NA,9.2,292,24.5,0.2,10.7,8.55,105,<0.1,0.16,0.19,7.35,216.95,22.23,13.96,11.73,0.184,NA,3.94,0.63,3.03,0.57,100.2,7.5,2014,11,3,307,NA,NA,NA,NA,NA,0.1,,,,
61,2015-06-29T00:00:00,WE12,25,1,60,1,246477.75,35.952,-3.093,110.508,0.996,Good,2015_cyano.XLSX,1,1,37.423,-3.459,94.596,0.99,BQ,2015_mcyE.xlsx,1,BD,36.678,-3.493,93.328,0.997,BD,2015_mcyE.xlsx,6.78,0.75,Surface,10:32,41.7036,-83.2562,2.49,0.69,cloudy,0.2,NA,21.1,373.3,41.7,0,7.51,2,104,<0.1,<0.1,4.81,21.23,223.65,79.39,59.49,7.98,4.33,NA,3.19,0.42,6.23,7.13,95.67,4.28,2015,6,29,180,236618.64,BQL< 48.,48,BDL< 0.96,0.96,0.1,6.62,7,0.1,15
62,2015-07-06T00:00:00,WE12,25,1,60,1,808943.5,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,3227.71,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,6.59,0.75,Surface,10:56,41.7059,-83.2632,3.05,1.24,sunny,0.5,NA,22.3,341,5.4,25.8,7.6,432,15.2,6.62,<0.1,21.38,58.11,178.01,90.09,39.18,5.21,3.907,NA,2.06,0.39,6.27,6.59,14.51,4.79,2015,7,6,187,776585.76,3098.6016,3098.6016,BDL< 0.96,0.96,6.62,0.1,8,0.19,14
63,2015-07-14T00:00:00,WE12,100,1,60,1,161405.25,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,3.845,35.902,-3.22,104.441,0.996,BQ,2015-2016-redo_mcyE.xlsx,1,75.446,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,6.69,0.75,Surface,8:57,41.7042,-83.2552,2.45,1.4,sunny,0.6,NA,22,331,5.3,26.8,7.31,197,12.2,<0.1,<0.1,1.4,7.25,107.89,78.39,32.26,12.25,3.592,NA,0.46,0.1,2.4,3.19,10.33,1.16,2015,7,14,195,38737.26,BQL< 12.,12,18.10704,18.10704,0.1,0.19,6,0.77,13
64,2015-07-20T00:00:00,WE12,50,1,60,1,2.01E+06,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,137.267,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,36.605,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,6.76,0.75,Surface,10:19,41.7047,-83.2572,1.88,0.17,sunny,1,NA,23.9,316.7,5,28.4,8.62,317,10.3,0.19,<0.1,1.61,66.59,158.14,87.27,30.76,3.19,2.871,NA,1.83,0.35,5.66,3.44,11.67,3.01,2015,7,20,201,964787.088,65.88816,65.88816,BQL< 24.,24,0.19,0.77,7,0.45,15
65,2015-07-27T00:00:00,WE12,100,1,60,1,1.27E+06,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,304.794,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,80.753,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,6.64,0.75,Surface,9:58,41.7036,-83.2581,2.07,1.13,sunny,1,NA,25,308.1,2.7,51.5,8,649,3.89,0.77,0.52,7.1,25.42,59.05,27.73,14.89,7.38,1.378,NA,0.95,0.19,4.94,2.36,6.03,1.84,2015,7,27,208,304774.44,73.15056,73.15056,19.38072,19.38072,0.77,0.45,8,0.34,14
66,2015-08-04T00:00:00,WE12,70,1,60,1,378721.7,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,75.667,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,5.58,0.75,Surface,10:37,41.703,-83.2551,2.53,1.17,sunny,1,NA,24.3,325.5,5.5,25.3,5.81,462,11.5,0.45,0.15,6.62,14.15,109.68,78.6,60.65,41.65,1.456,NA,0.92,0.18,6.03,3.34,13.93,1.29,2015,8,4,216,129847.44,25.94297143,25.94297143,BDL< 0.342857,0.342857143,0.45,0.34,6,0.25,13
67,2015-08-10T00:00:00,WE12,20,1,60,1,517541.94,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,238.729,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,6.6,0.75,Surface,10:04,41.7037,-83.2553,1.8,0.26,cloudy,NA,NA,24.2,314.5,6,22.6,9.72,12,19.7,0.34,<0.1,302.41,190.08,300.05,85.52,29.38,2.75,1.098,NA,4.55,0.94,5.85,3.32,16.13,8.14,2015,8,10,222,621050.328,286.4748,286.4748,BDL< 1.2,1.2,0.34,0.25,7,1.33,14
68,2015-08-17T00:00:00,WE12,25,1,60,1,260333.47,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,4.185,35.902,-3.22,104.441,0.996,BQ,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,6.72,0.75,Surface,9:37,41.7043,-83.2556,2.12,0.57,sunny,0.7,NA,24.5,278.2,5.4,25.6,9.74,62,16.1,0.25,0.12,10.31,100.61,59.55,10.29,2.45,2.29,0.306,NA,3.91,0.78,5.73,2.58,14.5,8.11,2015,8,17,229,249920.1312,BQL< 48.,48,BDL< 0.96,0.96,0.25,1.33,7,0.84,14
69,2015-08-24T00:00:00,WE12,40,1,60,1,472920.53,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,179.781,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,BD,36,-3.241,103.478,0.998,BD,2015-2016-redo_mcyE.xlsx,6.44,0.75,Surface,10:07,41.7024,-83.2561,2.74,1.65,sunny,0.7,NA,23.4,258.5,6.9,18,7.68,86,17.8,1.33,0.15,13.43,81.58,59.17,8.11,2.24,1.75,0.171,NA,3.18,0.55,4.24,1.65,12.96,7.25,2015,8,24,236,283752.318,107.8686,107.8686,BDL< 0.6,0.6,1.33,0.84,7,1.38,15
70,2015-08-31T00:00:00,WE12,60,1,60,1,731168.4,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,407.904,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,9.413,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,6.52,0.75,Surface,9:47,41.7045,-83.2575,1.2,0.26,sunny,0.8,NA,22.2,260,4.4,33,9.32,222,16.3,0.84,0.23,12.07,31,39.34,8.42,0.93,1.86,0.088,NA,2.35,0.41,5,2.26,10.73,4.71,2015,8,31,243,292467.36,163.1616,163.1616,BQL< 20.,20,0.84,1.38,8,1.1,14
71,2015-09-08T00:00:00,WE12,50,1,60,1,742375.44,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,1704.307,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,170.888,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,6.54,0.75,Surface,10:05,41.7034,-83.2549,2.41,0.56,sunny,0.7,NA,24.4,257,4.9,29.1,8.22,196,11.8,1.38,0.12,47.35,48,47.62,7.58,1.62,0.26,0.006,NA,2.55,0.44,4.62,1.65,11.3,6.31,2015,9,8,251,356340.2112,818.06736,818.06736,82.02624,82.02624,1.38,1.1,6,0.78,13
72,2015-09-14T00:00:00,WE12,50,1,60,1,3.54E+06,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,3528.447,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,1276.596,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,6.52,0.75,Surface,9:50,41.7035,-83.2563,2.37,1.3,sunny,1,NA,20.5,266.9,7,17.5,7.65,76,11.5,1.1,0.28,43,67.33,74.94,19.92,2.6,<0.4,0.015,NA,2.55,0.41,4.6,1.59,15.25,6.16,2015,9,14,257,1.70E+06,1693.65456,1693.65456,612.76608,612.76608,1.1,0.78,7,0.66,14
73,2015-09-21T00:00:00,WE12,80,1,60,1,2.16E+06,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,1210.507,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,978.234,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,6.54,0.75,Surface,9:48,41.7055,-83.2564,0.8,1.01,sunny,0.7,NA,20.3,261.5,7.1,17,7.74,320,13.2,0.78,0.35,19.15,44.48,58.93,9.64,5.01,<0.4,<0.002,NA,2.14,0.32,4.36,1.22,15.2,4.61,2015,9,21,264,648312.06,363.1521,363.1521,293.4702,293.4702,0.78,0.66,7,0.27,14
74,2015-09-28T00:00:00,WE12,50,1,60,1,2.19E+06,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,921.63,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,381.423,36,-3.241,103.478,0.998,Good,2015-2016-redo_mcyE.xlsx,6.53,0.75,Surface,9:55,41.7034,-83.2556,1.66,0.7,cloudy,0.6,NA,20.5,231.8,7.3,16.1,8.22,163,13,0.66,0.42,20.53,40.82,56.71,9.78,3.83,<0.4,0.024,NA,1.84,0.3,4.98,1.62,24.33,5.91,2015,9,28,271,1.05E+06,442.3824,442.3824,183.08304,183.08304,0.66,0.27,7,0.1,-112
75,2015-10-05T00:00:00,WE12,15,1,60,1,83096.85,36.995,-3.343,99.124,0.995,Good,2015_2016_cyano_redo.XLSX,1,126.754,35.902,-3.22,104.441,0.996,Good,2015-2016-redo_mcyE.xlsx,1,2.747,36,-3.241,103.478,0.998,BQ,2015-2016-redo_mcyE.xlsx,6.4,0.75,Surface,9:41,41.7022,-83.2541,1.93,1.38,partly sunny,0.1,NA,16.2,237,32.9,0,9.27,26,68.3,0.27,<0.1,1.4,18.73,341.92,31.65,11.21,9.85,0.157,NA,2.67,0.34,2.88,0.43,68.8,4.92,2015,10,5,278,132954.96,202.8064,202.8064,BQL< 80.,80,0.27,0.1,-119,0.1,-109
NA,2015-06-08T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37,0.75,Surface,11:41,41.7026,-83.2538,2.81,1.22,rain,0.4,NA,19.3,223,NA,NA,8.36,17,40.7,<0.1,<0.1,0.21,4.16,78,29.81,23.66,48.94,1.016,NA,1.13,0.17,3.09,0.79,39.8,3.04,2015,6,8,159,NA,NA,NA,NA,NA,0.1,0.1,10,0.1,14
NA,2015-06-18T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56,0.75,Surface,10:17,41.704,-83.2564,2.04,0.76,mostly cloudy,1.1,NA,22.8,447.7,4.1,35.6,7.3,136,6.71,<0.1,<0.1,0.21,6.22,100.8,97.91,66.46,110.38,6.25,NA,0.41,0.08,5.55,2.8,8.14,0.84,2015,6,18,169,NA,NA,NA,NA,NA,0.1,0.1,4,,
NA,2015-06-22T00:00:00,WE12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49,0.75,Surface,10:43,41.7028,-83.2592,0.77,0.22,sunny,0.7,NA,24,400.8,6.7,18.8,6.87,109,15.4,<0.1,<0.1,0.32,6.28,129.11,98.27,70.45,75.17,5.58,NA,0.65,0.11,6.5,6.2,12.97,1.2,2015,6,22,173,NA,NA,NA,NA,NA,0.1,,,,
